SHAPE		x1	y1	x2	y2
Ellipse		365	171	630	345
LineOO		567	186	654	108
LineOO		409	193	322	105
Ellipse		529	222	558	250
Ellipse		441	222	470	250
Line		495	258	495	285
Line		457	309	545	301
Point		453	235	453	235
Point		541	236	541	236
Line		465	143	483	173
Line		483	173	488	140
Line		483	169	506	142
Line		485	170	522	152
Line		481	169	451	159
Line		88	99	67	152
Line		67	152	168	163
Line		168	163	158	242
Line		990	88	941	160
Line		941	160	1013	161
Line		1013	161	948	245
Line		762	136	776	93
Line		776	93	794	132
Line		794	132	752	112
Line		752	112	803	110
Line		803	110	763	135
Line		165	362	159	401
Line		165	363	188	388
Line		188	388	152	377
Line		152	377	185	366
Line		185	366	160	397
Line		1044	115	1059	81
Line		1059	81	1073	107
Line		1073	107	1042	93
Line		1042	93	1072	91
Line		1072	91	1045	111
Line		716	353	739	319
Line		739	319	749	349
Line		749	349	719	328
Line		719	328	761	327
Line		761	327	716	352
Line		956	338	926	393
Line		956	341	979	399
Line		979	399	927	357
Line		927	357	991	364
Line		991	364	928	392
Line		172	84	141	68
Line		141	68	147	99
Line		147	99	154	62
Line		154	62	131	87
Line		131	87	169	82
Line		361	414	352	469
Line		361	414	389	457
Line		389	457	344	436
Line		344	436	393	427
Line		393	427	353	464
Line		617	406	604	448
Line		617	408	644	447
Line		644	447	600	424
Line		600	424	643	423
Line		643	423	605	445
Cube		797	398	837	432
Cube		804	397	820	412
Cube		61	264	103	303
Cube		65	259	85	277
Cube		209	446	250	478
Cube		214	447	233	463
Cube		818	207	873	245
Cube		818	200	845	219
Cube		1021	257	1048	285
Cube		1022	256	1034	268
Cube		225	141	266	181
Cube		225	134	241	151
Cube		218	308	245	337
Cube		219	301	230	313
Cube		479	409	504	428
Cube		1025	447	1057	477
Cube		1028	442	1044	455
LineOO		358	74	630	71
